,Année,RNE,Nom établissement,Localité,Département,Label,Position
692,2020,0301325C,Collège Henri Pitot,Aramon,30,1,"43.8882210597, 4.67947010181"
899,2020,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,1,"43.3898154424, 3.1016801846"
693,2020,0301723K,Collège Théodore Monod,Clarensac,30,1,"43.826028832, 4.23046940861"
113,2020,0342130F,Collège Pierre Deley,Marseillan,34,1,"43.3636032312, 3.52046025283"
124,2020,0660865G,Collège Pierre Mendès France,Saint-André,66,3,"42.5541189497, 2.96351977326"
117,2020,0660017K,Collège Jean Macé,Perpignan,66,1,"42.6952140275, 2.8876601781"
97,2020,0300043J,Collège Jean Baptiste Dumas,Salindres,30,1,"44.1664128318, 4.16061997374"
93,2020,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942"
101,2020,0301282F,Collège Elsa Triolet,Beaucaire,30,3,"43.8104670616, 4.62201018325"
104,2020,0340111L,Collège Clémenceau,Montpellier,34,3,"43.6021807686, 3.8731804287"
105,2020,0340955D,Collège Simone Veil,Montpellier,34,3,"43.6180403594, 3.84792979907"
106,2020,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,3,"43.5407317335, 3.45764059763"
114,2020,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
123,2020,0660521H,Collège Pau Casals,Cabestany,66,3,"42.6764094572, 2.94332002109"
94,2020,0300006U,Collège Florian,Anduze,30,3,"44.053275465, 3.98381045633"
315,2020,0340117T,Collège Paul Dardé,Lodève,34,2,"43.7312528727, 3.30945029518"
100,2020,0301246S,Collège la Gardonnenque,Brignon,30,1,"43.974322734, 4.21295996157"
107,2020,0341028H,Collège Georges Brassens,Lattes,34,1,"43.5669672693, 3.8996797337"
322,2020,0342131G,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839"
916,2020,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
912,2020,0342224H,Collège Olympe de Gouges,Loupian,34,2,"43.4477739876, 3.6074897953"
319,2020,0341366A,Collège du Salagou,Clermont-l'Hérault,34,2,"43.6341692684, 3.43125035714"
310,2020,0301747L,Collège,Lédignan,30,2,"43.9840086522, 4.10706037412"
116,2020,0660012E,Collège Joseph Sébastien Pons,Perpignan,66,2,"42.7197414277, 2.89175023197"
296,2020,0110665N,Collège Varsovie,Carcassonne,11,2,"43.2137760413, 2.34773990008"
483,2020,0110825M,Collège les Fontanilles,Castelnaudary,11,2,"43.3181114475, 1.94445047802"
312,2020,0340008Z,Collège Victor Hugo,Bessan,34,2,"43.3632534598, 3.42253958791"
911,2020,0341825Z,Collège Ambrussum,Lunel,34,3,"43.6876054742, 4.13410022864"
892,2020,0300059B,Collège Jules Verne,Nîmes,30,3,"43.8296391511, 4.34296054205"
890,2020,0300016E,Collège de la Regordane,Génolhac,30,3,"44.3495919152, 3.94858022887"
903,2020,0340070S,Collège du Jaur,Saint-Pons-de-Thomières,34,1,"43.485152687, 2.77101015912"
504,2020,0480607Z,Collège Henri Bourrillon,Mende,48,2,"44.5205651008, 3.50662969844"
889,2020,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
904,2020,0340109J,Collège les Garrigues,Montpellier,34,3,"43.6426440098, 3.8170897104"
