Année;RNE;Nom établissement;Localité;Département;Niveau de Label;Position
2019;0811144D;Lycée professionnel Hôtelier;Mazamet;081;1;43.5045256663, 2.38351985365
2021;0811324Z;Lycée professionnel Marie Antoinette Riess;Mazamet;081;1;43.5018496145, 2.3807897578
2019;0480019K;Lycée professionnel Emil;Mende;048;1;44.5249679469, 3.47927005964
2021;0480007X;Lycée d'enseignement général et technologique Chaptal;Mende;048;1;44.5211784702, 3.50813007903
2017;0320023B;Lycée polyvalent Alain Fournier;Mirande;032;1;43.5169094414, 0.40423046772
2018;0320023B;Lycée polyvalent Alain Fournier;Mirande;032;1;43.5169094414, 0.40423046772
2019;0320023B;Lycée polyvalent Alain Fournier;Mirande;032;1;43.5169094414, 0.40423046772
2017;0090013R;Lycée polyvalent;Mirepoix;009;1;43.0858968979, 1.8827606137
2021;0090013R;Lycée polyvalent Mirepoix;Mirepoix;009;1;43.0858968979, 1.8827606137
2017;0820021C;Lycée d'enseignement général et technologique Bourdelle;Montauban;082;1;44.0147910643, 1.36793044107
2018;0820032P;Lycée professionnel Bourdelle;Montauban;082;1;44.014317048, 1.36862009138
2019;0820021C;Lycée d'enseignement général et technologique Bourdelle;Montauban;082;1;44.0147910643, 1.36793044107
2021;0820559M;Lycée ens général technologique professionnel agricole et Professionnel Agricole de Montauban;Montauban;082;2;44.0335398937, 1.31802044469
2018;0310006N;Lycée professionnel du Bois;Montauban-de-Luchon;031;1;42.7919698714, 0.603439839323
2021;0820917B;Lycée polyvalent Olympe de Gouges;Montech;082;1;43.9615411327, 1.24858982809
2019;0820883P;Lycée polyvalent Claude Nougaro;Monteils;082;2;44.1731024258, 1.56522950126
2017;0341736C;Lycée d'enseignement général et technologique Jean Monnet;Montpellier;034;2;43.628708597, 3.83093651783
2018;0340040J;Lycée polyvalent Jules Guesde;Montpellier;034;1;43.6117160758, 3.8479700774
2018;0340045P;Lycée professionnel Jules Ferry;Montpellier;034;1;43.606075055, 3.84160977179
2018;0342225J;Lycée polyvalent des Métiers Georges Frêche;Montpellier;034;2;43.6049332853, 3.91206971476
2021;0341385W;Lycée professionnel Lycée Léonard de Vinci;Montpellier;034;1;43.6229146115, 3.83258051585
2021;0310024H;Lycée polyvalent Pierre d'Aragon;Muret;031;2;43.4542722924, 1.33068939434
2019;0110710M;Lycée professionnel Narbonne;Narbonne;011;1;43.15986, 2.991603
2019;0110022P;Lycée d'enseignement général et technologique Docteur Lacroix;Narbonne;011;3;43.1775350538, 3.00219016219
2021;0110022P;Lycée d'enseignement général et technologique Docteur Lacroix;Narbonne;011;3;43.1775350538, 3.00219016219
