NIVEAU LABEL;COMMUNE;ECOLE;NBR CLASSES;UAI;position
3;SUMENE;ECOLE PRIMAIRE PUBLIQUE;5.0;0301623B;43.97913259471944,3.7171594896095317
3;BAILLARGUES;ECOLE ELEMENTAIRE PUBLIQUE GEORGES BRASSENS;16.0;0340175F;43.65933017216288,4.010760406929925
3;CLARET;ECOLE ELEMENTAIRE PUBLIQUE;5.0;0340303V;43.86157629392939,3.904119382803758
3;CATLLAR;ECOLE PRIMAIRE PUBLIQUE;4.0;0660187V;42.634309435535194,2.4205297472703013
3;PERPIGNAN;ECOLE ELEMENTAIRE PUBLIQUE JEAN-JACQUES ROUSSEAU;10.0;0660309C;42.69568045560845,2.88082012506819
3;CLAIRA;ECOLE ELEMENTAIRE PUBLIQUE YVES DUCES;12.0;0660604Y;42.76228445226482,2.9511095913076915
3;SAILLAGOUSE;ECOLE ELEMENTAIRE PUBLIQUE;5.0;0660611F;42.458952722696516,2.0387313782050387
1;BRAM;ECOLE ELEMENTAIRE PUBLIQUE MARIE-JEANNE ESTEVENON;11.0;0110127D;43.24141148533963,2.1102700119191184
1;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE ISLY;5.0;0110151E;43.211767257005995,2.3397294140937444
1;GARONS;ECOLE ELEMENTAIRE PUBLIQUE JEAN MONNET;13.0;0300385F;43.76899583531827,4.427449932123998
1;SAINT-HILAIRE-DE-BRETHMAS;ECOLE ELEMENTAIRE PUBLIQUE RENE DELEUZE;5.0;0300726B;44.106671160101556,4.118830452018298
1;SALINDRES;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;9.0;0300813W;44.171903087250264,4.160439440752092
1;FRONTIGNAN;ECOLE ELEMENTAIRE PUBLIQUE LES LAVANDINS;9.0;0342139R;43.426521243168814,3.7303805173151354
1;PERPIGNAN;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;11.0;0660800L;42.6899758271953,2.9003003271631105
2;FENDEILLE;ECOLE PRIMAIRE PUBLIQUE;4.0;0110285A;43.26884473399881,1.9426494925480462
2;MALVES-EN-MINERVOIS;ECOLE PRIMAIRE PUBLIQUE PIERRE PERRET;4.0;0110379C;43.25357920772802,2.4414597544207197
2;LUC-SUR-ORBIEU;ECOLE PRIMAIRE PUBLIQUE;6.0;0110793C;43.175871342784774,2.786129552411656
2;COMPS;ECOLE PRIMAIRE PUBLIQUE ANDRE MASSIP;8.0;0300343K;43.84919264005054,4.599689637225641
2;MEJANNES-LES-ALES;ECOLE PRIMAIRE PUBLIQUE;6.0;0300520C;44.097636696140434,4.152679565128648
2;NIMES;ECOLE PRIMAIRE TOUR MAGNE;4.0;0300566C;43.84403764209904,4.351579827721643
2;ORSAN;ECOLE PRIMAIRE PUBLIQUE;5.0;0300613D;44.131497706614404,4.668820304973706
2;SAINT-DEZERY;ECOLE ELEMENTAIRE PUBLIQUE;2.0;0300705D;44.00157678146682,4.267169899482505
2;SAINT-VICTOR-DE-MALCAP;ECOLE PRIMAIRE PUBLIQUE NADAL;4.0;0300811U;44.244859838942425,4.2238903137752315
2;SAINT-CHRISTOL-LEZ-ALES;ECOLE ELEMENTAIRE PUBLIQUE JOLIOT-CURIE;9.0;0301197N;44.08430438180869,4.0752775356611926
2;ALES;ECOLE PRIMAIRE MONTEE DE SILHOL;11.0;0301265M;44.128577168130576,4.101567756637621
2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE ARMAND BARBES;8.0;0301276Z;43.83254221057075,4.346500088410288
2;LE CAILAR;ECOLE ELEMENTAIRE PUBLIQUE;6.0;0301403M;43.676989461838026,4.236419940632585
2;LES MAGES;ECOLE PRIMAIRE PUBLIQUE JOLIOT-CURIE;8.0;0301447K;44.229246412360546,4.165909530714557
2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN;19.0;0301514H;43.82241768526416,4.3385395119402785
2;ALES;ECOLE PRIMAIRE LE PANSERA;14.0;0301738B;44.12479427331523,4.070639618108808
2;CASTELNAU-LE-LEZ;ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN;17.0;0340272L;43.636708911685794,3.9162796230946197
2;MENDE;ECOLE PRIMAIRE PUBLIQUE SIMONE VEIL;5.0;0480206N;44.529651290761876,3.4501201292976837
2;BOMPAS;ECOLE ELEMENTAIRE PUBLIQUE FRANCOIS ARAGO;11.0;0660264D;42.73240784433149,2.9329594410828586
2;ANGOUSTRINE-VILLENEUVE-DES-ESCAL;ECOLE PRIMAIRE PUBLIQUE LOUIS CLERC;3.0;0660424C;42.48662229094757,1.9535394594974358
2;TROUILLAS;ECOLE ELEMENTAIRE PUBLIQUE;6.0;0660585C;42.606589182545065,2.812629819709286
3;COURSAN;ECOLE ELEMENTAIRE PUBLIQUE JEANNE MIQUEL;9.0;0110247J;43.23209294002103,3.05973032623255
3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE LAKANAL;5.0;0110427E;43.188715377361014,3.00765967529263
3;NIMES;ECOLE ELEMENTAIRE PUBLIQUE PAUL MARCELIN;16.0;0301351F;43.83049245045277,4.329289729116234
3;VALRAS-PLAGE;ECOLE MATERNELLE PUBLIQUE;4.0;0340803N;43.2470029811004,3.292040270703441
3;BALSIEGES;ECOLE PRIMAIRE PUBLIQUE DU LION;4.0;0480253P;44.48728766333151,3.4606920867672644
3;PEYRESTORTES;ECOLE ELEMENTAIRE PUBLIQUE SIMONE VEIL;5.0;0660393U;42.75279339447031,2.8531025043645015
