uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0300333Z;1;CLARENSAC;ECOLE ELEMENTAIRE PUBLIQUE MARIE PAPE CARPANTIER;12.0;43.82739781107096;4.231340506096117;elementaire;marie pape carpantier;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE MARIE PAPE CARPANTIER;30082;CLARENSAC;public;119.4
0301334M;1;LE GRAU-DU-ROI;ECOLE ELEMENTAIRE PUBLIQUE ANDRE QUET;14.0;43.53606965037302;4.139310081920211;elementaire;andre quet;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE ANDRE QUET;30133;LE GRAU DU ROI;public;96.0
0301019V;1;ALES;ECOLE ELEMENTAIRE PUBLIQUE GERMAIN DAVID;9.0;44.11703533695231;4.0861694073924655;elementaire;germain david;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE GERMAIN DAVID;30007;ALES;public;94.8
0301437Z;1;CORNILLON;ECOLE PRIMAIRE PUBLIQUE ST NABOR;6.0;44.21801938475514;4.486819455941418;primaire;st nabor;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE SAINT NABOR;30096;CORNILLON;public;113.9
0301386U;1;GENERAC;ECOLE ELEMENTAIRE PUBLIQUE LI FLOU D'ARMAS;9.0;43.72988818783403;4.345750248044488;elementaire;li flou d'armas;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE LI FLOU D ARMAS;30128;GENERAC;public;101.3
0301515J;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JEAN D'ORMESSON;18.0;43.85936440963831;4.397668428945382;elementaire;jean d'ormesson;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JEAN D ORMESSON;30189;NIMES;public;67.3
0301553A;1;SAINT-FLORENT-SUR-AUZONNET;ECOLE PRIMAIRE ANTOINE DE SAINT EXUPERY;4.0;44.24016807203666;4.111696067709718;primaire;antoine de saint exupery;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE ANTOINE DE SAINT EXUPERY;30253;SAINT FLORENT SUR AUZONNET;public;82.3
0301526W;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE GREZAN;14.0;43.840590160007444;4.378648761659541;elementaire;grezan;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE GREZAN;30189;NIMES;public;79.6
0301646B;1;VERGEZE;ECOLE ELEMENTAIRE PUBLIQUE JEAN MACE;15.0;43.741461325343145;4.2204503533094515;elementaire;jean mace;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE JEAN MACE;30344;VERGEZE;public;108.7
0301530A;1;CAVEIRAC;ECOLE ELEMENTAIRE PUBLIQUE;9.0;43.82328746072774;4.262279441090506;elementaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE;30075;CAVEIRAC;public;119.3
0301683S;1;BERNIS;ECOLE ELEMENTAIRE PUBLIQUE PAUL FORT;8.0;43.76683893979995;4.2891004174123815;elementaire;paul fort;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE PAUL FORT;30036;BERNIS;public;104.5
0301531B;1;SAINT-AMBROIX;ECOLE ELEMENTAIRE PUBLIQUE FLORIAN;6.0;44.25885979210609;4.200169496849702;elementaire;florian;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE FLORIAN;30227;SAINT AMBROIX;public;87.7
0341442H;1;LUNEL;ECOLE ELEMENTAIRE PUBLIQUE HENRI DE BORNIER;16.0;43.67274135970812;4.135430222466908;elementaire;henri de bornier;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE HENRI DE BORNIER;34145;LUNEL;public;78.6
